CMDLINE /home/whodef/projects/algorithms_and_data_structures/venv/bin/python ./quick_sort2.py
MEM 0.617188 1681679427.8644
MEM 23.128906 1681679427.9647
MEM 40.343750 1681679428.0650
MEM 56.527344 1681679428.1653
MEM 74.984375 1681679428.2655
MEM 87.324219 1681679428.3659
MEM 100.289062 1681679428.4662
MEM 118.992188 1681679428.5665
MEM 129.917969 1681679428.6667
MEM 148.816406 1681679428.7670
MEM 155.003906 1681679428.8673
MEM 173.812500 1681679428.9676
MEM 182.960938 1681679429.0679
MEM 199.687500 1681679429.1682
MEM 218.605469 1681679429.2685
MEM 227.113281 1681679429.3689
MEM 240.003906 1681679429.4692
MEM 255.746094 1681679429.5695
MEM 255.746094 1681679429.6698
MEM 255.746094 1681679429.7703
MEM 255.746094 1681679429.8708
MEM 255.746094 1681679429.9712
MEM 255.746094 1681679430.0716
MEM 255.746094 1681679430.1719
MEM 255.746094 1681679430.2722
MEM 255.746094 1681679430.3725
MEM 255.746094 1681679430.4729
MEM 255.746094 1681679430.5732
MEM 255.746094 1681679430.6734
MEM 255.746094 1681679430.7738
MEM 255.746094 1681679430.8740
MEM 255.746094 1681679430.9743
MEM 255.746094 1681679431.0746
MEM 255.746094 1681679431.1749
MEM 255.746094 1681679431.2753
MEM 255.746094 1681679431.3756
MEM 255.746094 1681679431.4759
MEM 255.746094 1681679431.5762
MEM 255.746094 1681679431.6766
MEM 255.746094 1681679431.7769
MEM 255.746094 1681679431.8772
MEM 255.746094 1681679431.9775
MEM 255.746094 1681679432.0778
MEM 255.746094 1681679432.1781
MEM 255.746094 1681679432.2784
MEM 255.746094 1681679432.3788
MEM 255.746094 1681679432.4791
MEM 255.746094 1681679432.5794
MEM 255.746094 1681679432.6797
MEM 255.746094 1681679432.7801
MEM 255.746094 1681679432.8804
MEM 255.746094 1681679432.9808
MEM 255.746094 1681679433.0810
MEM 255.746094 1681679433.1814
MEM 255.746094 1681679433.2817
MEM 255.746094 1681679433.3821
MEM 255.746094 1681679433.4823
MEM 255.746094 1681679433.5827
MEM 255.746094 1681679433.6830
MEM 255.746094 1681679433.7833
MEM 255.746094 1681679433.8837
MEM 255.746094 1681679433.9840
MEM 255.746094 1681679434.0843
MEM 255.746094 1681679434.1847
MEM 255.746094 1681679434.2850
MEM 255.746094 1681679434.3853
MEM 255.746094 1681679434.4856
MEM 255.746094 1681679434.5859
MEM 255.746094 1681679434.6863
MEM 255.746094 1681679434.7865
MEM 255.746094 1681679434.8869
MEM 255.746094 1681679434.9872
MEM 255.746094 1681679435.0875
MEM 255.746094 1681679435.1879
MEM 255.746094 1681679435.2882
MEM 255.746094 1681679435.3886
MEM 258.535156 1681679435.4890
MEM 260.082031 1681679435.5894
MEM 262.402344 1681679435.6898
MEM 265.808594 1681679435.7903
MEM 271.222656 1681679435.8906
MEM 271.222656 1681679435.9909
MEM 271.222656 1681679436.0912
MEM 255.984375 1681679436.1916
MEM 255.984375 1681679436.2919
MEM 255.984375 1681679436.3923
MEM 255.984375 1681679436.4927
MEM 255.984375 1681679436.5931
MEM 255.984375 1681679436.6934
MEM 255.984375 1681679436.7938
